"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","1542-4863","SCIE","685.2","232.4","452.8","Q1@ONCOLOGY","医学","1 [77/5603]","是","1 [11/318]@ONCOLOGY 肿瘤学"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0072","1471-0080","SCIE","118","90.2","27.8","Q1@CELL BIOLOGY","生物学","1 [1/1091]","是","1 [1/203]@CELL BIOLOGY 细胞生物学"
"LANCET","0140-6736","1474-547X","SCIE","109","88.5","20.5","Q1@MEDICINE, GENERAL & INTERNAL","医学","1 [7/5603]","是","1 [2/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"NATURE REVIEWS MICROBIOLOGY","1740-1526","1740-1534","SCIE","104.6","103.3","1.3","Q1@MICROBIOLOGY","生物学","1 [2/1091]","是","1 [1/159]@MICROBIOLOGY 微生物学"
"MMWR Surveillance Summaries","1545-8636","1545-8636","SCIE","96.9","49.8","47.1","Q1@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","1 [99/5603]","是","1 [6/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Nature Reviews Clinical Oncology","1759-4774","1759-4782","SCIE","94.6","82.2","12.4","Q1@ONCOLOGY","医学","1 [10/5603]","是","1 [2/318]@ONCOLOGY 肿瘤学"
"NATURE REVIEWS DRUG DISCOVERY","1474-1776","1474-1784","SCIE","91.2","101.8","-10.6","Q1@BIOTECHNOLOGY & APPLIED MICROBIOLOGY | Q1@PHARMACOLOGY & PHARMACY","医学","1 [3/5603]","是","1 [1/174]@BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物 | 1 [1/350]@PHARMACOLOGY & PHARMACY 药学"
"NEW ENGLAND JOURNAL OF MEDICINE","0028-4793","1533-4406","SCIE","84.5","78.5","6.0","Q1@MEDICINE, GENERAL & INTERNAL","医学","1 [51/5603]","是","1 [7/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"Nature Reviews Materials","2058-8437","2058-8437","SCIE","83.3","86.2","-2.9","Q1@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@NANOSCIENCE & NANOTECHNOLOGY","材料科学","1 [1/495]","是","1 [1/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 1 [1/139]@NANOSCIENCE & NANOTECHNOLOGY 纳米科技"
"Signal Transduction and Targeted Therapy","2095-9907","2059-3635","SCIE","81.2","52.7","28.5","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q1@CELL BIOLOGY","医学","1 [73/5603]","是","1 [5/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 1 [10/203]@CELL BIOLOGY 细胞生物学"
"ANNALS OF ONCOLOGY","0923-7534","1569-8041","SCIE","80.4","65.4","15.0","Q1@ONCOLOGY","医学","1 [23/5603]","是","1 [5/318]@ONCOLOGY 肿瘤学"
"Nature Reviews Disease Primers","2056-676X","2056-676X","SCIE","79.8","60.6","19.2","Q1@MEDICINE, GENERAL & INTERNAL","医学","1 [1/5603]","是","1 [1/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"World Psychiatry","1723-8617","2051-5545","SCIE, SSCI","79.5","65.8","13.7","Q1@PSYCHIATRY","医学","1 [2/5603]","是","1 [1/277]@PSYCHIATRY 精神病学"
"Nature Reviews Earth & Environment","N/A","2662-138X","SCIE","74.1","71.5","2.6","Q1@ENVIRONMENTAL SCIENCES | Q1@GEOSCIENCES, MULTIDISCIPLINARY | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES","地球科学","1 [1/575]","是","1 [1/357]@ENVIRONMENTAL SCIENCES 环境科学 | 1 [1/258]@GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合"
